"xpath","count_occurrences","count_filings","schema_versions","first_year","last_year","latest_version","current_version","variable_name","rdb_relationship","rdb_table","label","form","form_part","variable_scope","data_type_simple","path_type"
"/Return",6007443,5980995,"2009v1.0;;2009v1.1;;2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.4;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0;;2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.4;;2024v5.5","2009","2024","2024",TRUE,,,,,,,,,"HEADER"
"/Return/ReturnData",6007443,5980995,"2009v1.0;;2009v1.1;;2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.4;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0;;2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.4;;2024v5.5","2009","2024","2024",TRUE,,,,,,,,,"HEADER"
"/Return/ReturnData/AffiliateListing",1830,1824,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2009","2024","2024",TRUE,,,,,,,,,"HEADER"
"/Return/ReturnData/AffiliateListing/Affiliate",4370,254,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,,,,,,,,,"HEADER"
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS",4370,254,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,,,,,,,,,"HEADER"
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine1",4370,254,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,,,,,,,,,"DATA"
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine2",657,24,"2010v3.2;;2010v3.4;;2011v1.2;;2011v1.5;;2012v2.0;;2012v2.1","2010","2012","2012",FALSE,,,,,,,,,"DATA"
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/City",4370,254,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,,,,,,,,,"DATA"
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/State",4370,254,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,,,,,,,,,"DATA"
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/ZIPCode",4370,254,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3","2009","2012","2012",FALSE,,,,,,,,,"DATA"
