"year","filings","versions"
2009,48781,"2009v1.0, 2009v1.1, 2009v1.2, 2009v1.3, 2009v1.4, 2009v1.7"
2010,186351,"2010v3.2, 2010v3.4, 2010v3.6, 2010v3.7"
2011,241552,"2011v1.2, 2011v1.3, 2011v1.4, 2011v1.5"
2012,273438,"2012v2.0, 2012v2.1, 2012v2.2, 2012v2.3, 2012v3.0"
2013,303230,"2013v3.0, 2013v3.1, 2013v4.0"
2014,335036,"2014v5.0, 2014v6.0"
2015,358413,"2015v2.0, 2015v2.1, 2015v3.0"
2016,374387,"2016v3.0, 2016v3.1"
2017,400757,"2017v2.0, 2017v2.2, 2017v2.3"
2018,420826,"2018v3.0, 2018v3.1, 2018v3.2, 2018v3.3"
2019,436317,"2019v5.0, 2019v5.1, 2019v5.2"
2020,490208,"2020v4.0, 2020v4.1, 2020v4.2"
2021,539217,"2021v4.0, 2021v4.1, 2021v4.2"
2022,555197,"2022v4.0, 2022v4.1, 2022v5.0"
2023,561156,"2023v4.0, 2023v5.0, 2023v5.1, 2023v6.0"
2024,456170,"2024v5.0, 2024v5.1, 2024v5.2, 2024v5.4, 2024v5.5"
