"xpath","TY2009","TY2010","TY2011","TY2012","TY2013","TY2014","TY2015","TY2016","TY2017","TY2018","TY2019","TY2020","TY2021","TY2022","TY2023","TY2024"
"/Return",48781,186351,241552,273438,303230,335036,358413,374387,400756,420826,436316,490206,539204,555185,561147,456167
"/Return/ReturnData",48781,186351,241552,273438,303230,335036,358413,374387,400756,420826,436316,490206,539204,555185,561147,456167
"/Return/ReturnData/AffiliateListing",22,67,80,90,100,116,113,121,121,121,106,156,171,170,153,117
"/Return/ReturnData/AffiliateListing/Affiliate",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine1",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine2",0,8,7,9,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/City",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/State",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/ZIPCode",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/EIN",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/Name",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/Name/BusinessNameLine1",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/Name/BusinessNameLine2",1,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/Affiliate/NameControl",21,66,79,88,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp",0,0,0,0,99,113,110,118,116,112,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName",0,0,0,0,99,113,110,118,116,112,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1",0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1Txt",0,0,0,0,0,113,110,118,116,112,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2Txt",0,0,0,0,0,8,7,12,9,8,23,31,31,29,21,18
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessNameControlTxt",0,0,0,0,99,113,110,118,116,112,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/EIN",0,0,0,0,99,113,110,118,116,112,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress",0,0,0,0,98,111,110,118,115,111,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1",0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1Txt",0,0,0,0,0,111,110,118,115,111,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2Txt",0,0,0,0,0,6,9,7,6,5,6,14,13,14,15,13
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/City",0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/CityNm",0,0,0,0,0,111,110,118,115,111,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/State",0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/StateAbbreviationCd",0,0,0,0,0,111,110,118,115,111,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCd",0,0,0,0,0,111,110,118,115,111,100,148,160,157,140,106
"/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCode",0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupAttachment",12,12,28,25,25,22,18,24,25,24,23,23,23,22,13,7
"/Return/ReturnData/AffiliatedGroupAttachment/Explanation",10,12,28,25,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupAttachment/MeduimExplanationTxt",0,0,0,0,23,22,17,24,24,19,22,23,23,22,13,7
"/Return/ReturnData/AffiliatedGroupSchedule",58,90,98,117,123,126,145,165,182,166,183,208,216,225,245,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/AddressLine1",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/AddressLine2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/City",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/State",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/ZIPCode",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName/BusinessNameLine1",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/EIN",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ElectingOrg",48,69,75,92,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/GrassrootsNontaxableAmount",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/LobbyingNontaxableAmount",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/OtherExemptPurposeExpenditures",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ShareOfExcessLobbyingExpendtrs",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyExpendMnsLobbyingNontx",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyingGrassrootMinusNontx",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalDirectLobbying",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalExemptPurposeExpenditures",58,90,98,117,0,0,0,0,0,0,0,0,0,0,0,0
